supplier,city,country,cat,score,votes,comment
Octopus Energy Germany,München, Deutschland,Ökostromanbieter Energieanbieter Stromversorgungsunternehmen Energieversorger Gasversorgungsunternehmen,4.8,8042,https://de.trustpilot.com/review/octopusenergy.de
Ostrom,Berlin, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen Solarenergieunternehmen Energieversorger,4.8,1598,https://de.trustpilot.com/review/ostrom.de
Rabot Charge,Hamburg, Deutschland,Energieversorger Energieanbieter Stromversorgungsunternehmen Ökostromanbieter,4.3,174,https://de.trustpilot.com/review/rabot-charge.de
MONTANA Group,Grünwald, Deutschland,Energieanbieter Mineralölunternehmen Kraftstofflieferant Ökostromanbieter Gasversorgungsunternehmen Stromversorgungsunternehmen,4.0,3146,https://de.trustpilot.com/review/montana-energie.de
E.ON Energie Deutschland GmbH,München, Deutschland,Energieversorger Stromversorgungsunternehmen Ökostromanbieter Energieanbieter Gasversorgungsunternehmen Solartechnikanbieter,3.7,13223,https://de.trustpilot.com/review/eon.de
Grünwelt Energie,Kaarst, Deutschland,Stromversorgungsunternehmen,3.6,1964,https://de.trustpilot.com/review/www.gruenwelt.de
RheinEnergie,Köln, Deutschland,Ökostromanbieter Energieanbieter Gasversorgungsunternehmen Energieversorger Stromversorgungsunternehmen Wasserversorgungsunternehmen,3.4,528,https://de.trustpilot.com/review/rheinenergie.com
badenova,Freiburg im Breisgau, Deutschland,Stromversorgungsunternehmen Energieanbieter Gasversorgungsunternehmen Ökostromanbieter Energieversorger,2.7,241,https://de.trustpilot.com/review/www.badenova.de
pricewise.de,Heidelberg, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen,4.8,119,https://de.trustpilot.com/review/www.prizewize.de
DFM-Select GmbH,Metzingen, Deutschland,Anbieter von Elektronikbauteilen Technischer Kundendienst Elektronikunternehmen Energieanlagen und -lösungen Energieanbieter Stromversorgungsunternehmen,4.6,22,https://de.trustpilot.com/review/dfm-select.de
Vattenfall Europe Sales GmbH,,,Stromversorgungsunternehmen Gasversorgungsunternehmen Energieversorger Energieanbieter,4.4,10204,https://de.trustpilot.com/review/www.vattenfall.de
Erdgas Südwest GmbH,Ettlingen, Deutschland,Stromversorgungsunternehmen Heizungsanlagenanbieter Energieanlagen und -lösungen Energieanbieter Gasversorgungsunternehmen Ökostromanbieter,4.4,46,https://de.trustpilot.com/review/erdgas-suedwest.de
Zenstrom,Berlin, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen,4.0,89,https://de.trustpilot.com/review/zenstrom.de
VeganStrom,Berlin, Deutschland,Stromversorgungsunternehmen Ökostromanbieter Energieanbieter,4.0,30,https://de.trustpilot.com/review/veganstrom.com
Fair Trade Power Deutschland GmbH,München, Deutschland,Stromversorgungsunternehmen Ökostromanbieter Energieanbieter,4.0,3,https://de.trustpilot.com/review/fairtradepower.de
Lekker Energie GmbH,Berlin, Deutschland,Energieanbieter Stromversorgungsunternehmen Energieversorger Ökostromanbieter Gasversorgungsunternehmen,3.9,223,https://de.trustpilot.com/review/lekker.de
Paketsparer,Berlin, Deutschland,Telekommunikationsanbieter Internetanbieter Telefon- und Internetdienst Gasversorgungsunternehmen Energieversorger Stromversorgungsunternehmen,3.7,49,https://de.trustpilot.com/review/paketsparer.de
NEW Energie,Mönchengladbach, Deutschland,Stromversorgungsunternehmen,3.6,615,https://de.trustpilot.com/review/www.new-energie.de
SWK ENERGIE GmbH,Krefeld, Deutschland,Stadtwerke Stromversorgungsunternehmen Energieanbieter Ökostromanbieter Energieversorger Gasversorgungsunternehmen,3.5,137,https://de.trustpilot.com/review/www.swk.de
Gas-und-Stromvergleich.de,,,Stromversorgungsunternehmen Gasversorgungsunternehmen,0.0,0,https://de.trustpilot.com/review/www.gas-und-stromvergleich.de
nowenergy,Berlin, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen Internetanbieter Energieversorger Telekommunikationsanbieter Telefon- und Internetdienst,3.4,81,https://de.trustpilot.com/review/www.nowenergy.de
1KOMMA5°,Hamburg, Deutschland,Solartechnikanbieter Stromversorgungsunternehmen Energieanlagen und -lösungen,3.3,16,https://de.trustpilot.com/review/1komma5grad.com
CHONO MEDIA,,,Reiseanbieter Telekommunikationsanbieter Stromversorgungsunternehmen Online-Marktplatz,3.2,39,https://de.trustpilot.com/review/www.chono.de
Fresh Energy,Berlin, Deutschland,Stromversorgungsunternehmen,3.1,68,https://de.trustpilot.com/review/getfresh.energy
Polarstern Energie,München, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen Gasversorgungsunternehmen,3.1,32,https://de.trustpilot.com/review/polarstern-energie.de
Primastrom,Berlin, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen Energieversorger Telefon- und Internetdienst Internetanbieter Telekommunikationsanbieter,2.8,125,https://de.trustpilot.com/review/primastrom.de
eprimo GmbH,Neu-Isenburg, Deutschland,Energieanbieter Gasversorgungsunternehmen Stromversorgungsunternehmen Energieversorger,2.6,8786,https://de.trustpilot.com/review/eprimo.de
voxenergie,Berlin, Deutschland,Gasversorgungsunternehmen Energieversorger Telekommunikationsanbieter Internetanbieter Stromversorgungsunternehmen Telefon- und Internetdienst,2.4,130,https://de.trustpilot.com/review/www.voxenergie.de
Lition Energie,Berlin, Deutschland,Stromversorgungsunternehmen,1.9,125,https://de.trustpilot.com/review/lition.de
Oekostrom,,,Gasversorgungsunternehmen Stromversorgungsunternehmen,1.7,44,https://de.trustpilot.com/review/oekostrom.com
MEP Werke,Eckernförde, Deutschland,Stromversorgungsunternehmen,1.5,961,https://de.trustpilot.com/review/mep-werke.de
LichtBlick,Hamburg, Deutschland,Stromversorgungsunternehmen Energieanbieter Ökostromanbieter Wärmeenergie-Unternehmen,1.3,1708,https://de.trustpilot.com/review/lichtblick.de
RWE,Essen, Deutschland,Stromversorgungsunternehmen,1.3,90,https://de.trustpilot.com/review/www.rwe.de
EWE,,,Stromversorgungsunternehmen,1.2,2228,https://de.trustpilot.com/review/www.ewe.de
OPTUM GmbH,,,Gasversorgungsunternehmen Ökostromanbieter Stromversorgungsunternehmen Energieanbieter,0.0,0,https://de.trustpilot.com/review/optum-eba.de
Mein Stromgas,Dorsten, Deutschland,Stromversorgungsunternehmen,0.0,0,https://de.trustpilot.com/review/mein-stromgas.de
Netzberatung,Kassel, Deutschland,Energieanbieter Stromversorgungsunternehmen Vertriebsdienst Telefon- und Internetdienst Gasversorgungsunternehmen Mobiltelefongeschäft,0.0,0,https://de.trustpilot.com/review/netzberatung.shop
